Team,Day,Shift,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8
0,1,1,661.2260993667834,663.8363364717006,671.8746208907621,662.2816719857092,680.4962608799983,644.9550584359245,666.7126994267452,648.901091453591
0,1,2,662.8031407423841,659.9430587814476,659.9117072483913,638.021453771664,664.4664285850903,671.0075529562,683.7030537662953,673.5061589143305
0,1,3,635.5161884333834,648.6611429825981,674.8103511691378,650.6742458986697,665.8909199267438,645.4140128733713,672.890259970222,677.6008800034946
0,2,1,666.7113233932536,666.683868287781,665.6503630036631,655.5400803890586,670.2418340843981,662.9105820795122,664.8245870788382,669.3092695614475
0,2,2,683.3748694798394,685.5903022547453,660.4328649581439,670.0596620036772,667.9892025233877,680.8301099091026,643.6386575768705,653.2797584957203
0,2,3,672.5781098067121,670.7135475629394,639.2362212069969,641.3581851986035,681.6611569552201,667.2841140328644,670.5414078980057,666.02619720159
0,3,1,653.5842660492351,646.2496196270702,652.3006239405405,647.0805849003635,659.6644099919363,663.5225629144502,653.7442667944683,693.0906662299664
0,3,2,674.3137204459882,650.6477394881458,661.9974563048447,662.4490793417767,666.3549290658345,657.3740159294346,672.7732426523726,664.7141638644609
0,3,3,670.9726441356112,650.3697940138306,659.1496373787588,670.7490738903244,670.7358462984591,658.3716832230135,658.9382864478686,668.0206096706579
0,4,1,681.435652647446,660.48068338248,670.6239295427023,666.9656764307559,661.9174839985594,648.4485685621913,662.8433345013664,663.2812478112056
0,4,2,659.8560178374113,666.4493899009635,657.1237055519423,658.6070594847827,677.6052093615482,687.8938922625576,661.1169842877637,654.9209570991547
0,4,3,647.6103643008491,668.2233732715935,674.1094252107237,671.925748074245,680.7070188689283,674.6223071726839,686.604103485563,657.7314055496666
0,5,1,648.7997859314858,647.0560224895373,670.2776085699757,666.0460168498428,656.2470823976282,664.8642818636365,662.8471301302935,663.9576369229155
0,5,2,660.4598181339634,661.4845475076507,679.5230164339665,657.2326137957227,670.6473205780801,647.9881219167999,667.6448428306705,668.9522442287599
0,5,3,646.6421668296382,664.157406683369,662.876805515093,669.875763360049,641.2461226648487,661.2252620128864,660.3446109851566,650.3441606871884
0,6,1,675.2676059824954,654.3187849411827,657.8795337481539,657.3602335413884,678.933485358872,676.1829408654472,663.379859658702,667.8547539817263
0,6,2,666.3521544734712,640.1324885109545,680.4319391215771,686.8413148817425,659.2670554491161,642.3115886761259,683.0358752563374,680.1267859640272
0,6,3,668.2005710720038,689.5202450182827,674.0222341013431,665.270287813496,676.4620464476743,673.2952433698919,675.4687786133272,681.4273448887421
